Study_ID,Ref_Key,Authors,Title,Year,QA_Technical_Rigor,QA_AGI_Relevance,QA_Innovation_Significance,QA_CPST_Relevance,QA_Societal_Impact,QA_Overall_Mean,Bibliographic_Notes
S012,ref12,PRISMA,PRISMA 2020 Flow Diagram,2020,2.3,2.6,1.7,2.6,1.2,2.1,PRISMA 2020 guideline website. No DOI.
S013,ref13,"M. J. Page, J. E. McKenzie, P. M. Bossuyt, I. Boutron, T. C. Hoffmann, C. D. Mulrow, L. Shamseer, J. M. Tetzlaff, E. A. Akl, S. E. Brennan, R. Chou, J. Glanville, J. M. Grimshaw, A. Hróbjartsson, M. M. Lalu, T. Li, E. W. Loder, E. Mayo-Wilson, S. McDonald, L. A. McGuinness, L. A. Stewart, J. Thomas, A. C. Tricco, V. A. Welch, P. Whiting, and D. Moher",The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,2021,2.2,2.7,2.9,1.7,1.8,2.3,Journal article. DOI verified.
S014,ref14,"G. Yenduri, R. Murugan, P. Kumar Reddy Maddikunta, S. Bhattacharya, D. Sudheer, and B. Bhushan Savarala","Artificial general intelligence: Advancements, challenges, and future directions in AGI research",2025,2.0,2.8,2.1,2.2,2.3,2.3,Journal article. DOI approximate.
S015,ref15,"A. G. Philipo, D. S. Sarwatt, J. Ding, M. Daneshmand, and H. Ning","Cyberbullying detection: Exploring datasets, technologies, and approaches on social media platforms",2025,2.4,3.0,1.7,2.6,1.5,2.2,ACM Computing Surveys. Forthcoming. DOI: 10.1145/3785654
S016,ref16,"A. G. Philipo, H. Ning, D. S. Sarwatt, F. Shi, and J. Ding","AGI-powered human-machine systems for social computing: Technologies, infrastructure, applications, challenges, and future directions",2025,1.8,2.4,2.7,0.9,1.5,1.9,IEEE Transactions on Human-Machine Systems. Under review. No DOI assigned.
S017,ref17,"D. S. Sarwatt, F. Kulwa, A. G. Philipo, A. K. Runyoro, J. Ding, and H. Ning","AIGC-driven human-machine intelligence in intelligent transportation systems (ITS): Technologies, applications, challenges, and future directions",2025,3.0,2.1,1.6,2.5,2.3,2.3,Artificial Intelligence Review. DOI: 10.1007/s10462-025-11467-5
S018,ref18,"W. Saad, O. Hashash, C. K. Thomas, C. Chaccour, M. Debbah, N. Mandayam, and Z. Han",Artificial general intelligence (AGI)-native wireless systems: A journey beyond 6G,2025,1.9,1.8,2.0,2.6,2.1,2.1,Proceedings of the IEEE. DOI approximate.
S019,ref19,"Y. Peng, J. Han, Z. Zhang, L. Fan, T. Liu, S. Qi, X. Feng, Y. Ma, Y. Wang, and S.-C. Zhu",The Tong test: Evaluating artificial general intelligence through dynamic embodied physical and social interactions,2024,2.3,2.1,2.4,3.0,2.1,2.4,Journal article. DOI approximate.
S020,ref20,"X. Li, P. Wang, X. Jin, Q. Jiang, W. Zhou, and S. Yao",Reinforcement learning architecture for cyber-physical-social AI: state-of-the-art and perspectives,2023,2.4,2.5,3.0,3.0,1.6,2.5,Journal article. DOI verified.
S021,ref21,"M. Doctorarastoo, K. Flanigan, M. Bergés, and C. McComb",Exploring the potentials and challenges of cyber-physical-social infrastructure systems for achieving human-centered objectives,2023,3.0,3.0,2.0,2.4,1.9,2.5,BuildSys 2023 conference. DOI: 10.1145/3575872.3626593
S022,ref22,K. Joshi,Artificial general intelligence (AGI): A comprehensive review,2024,1.8,2.2,2.1,3.0,1.5,2.1,Journal article. DOI approximate.
S023,ref23,O. Arshi and A. Chaudhary,Overview of artificial general intelligence (AGI),2025,2.7,2.6,2.8,3.0,2.7,2.8,Springer book chapter. DOI: 10.1007/978-3-031-97676-5_1
S024,ref24,"Q. Wei, H. Wu, F. Shi, Y. Wan, and H. Ning",A tutorial on metaverse and services computing in metaverse,2024,3.0,2.5,1.7,2.3,2.8,2.5,Journal article. DOI verified.
S025,ref25,"N. Aung, S. Dhelim, L. Chen, H. Ning, L. Atzori, and T. Kechadi",Edge-enabled metaverse: The convergence of metaverse and mobile edge computing,2024,2.5,3.0,2.6,2.6,0.9,2.3,Journal article. DOI verified.
S026,ref26,"A. Khelloufi, H. Ning, S. Dhelim, and J. Ding",AGI enabled solutions for IoX layers bottlenecks in cyber-physical-social-thinking space,2025,2.2,3.0,3.0,1.2,1.5,2.2,arXiv preprint. arXiv:2506.22487
S027,ref27,"M. Shajalal, A. Boden, G. Stevens, D. Du, and D.-R. Kern",Explaining AI decisions: Towards achieving human-centered explainability in smart home environments,2024,2.5,2.2,2.2,1.4,1.1,1.9,Springer book chapter. DOI: 10.1007/978-3-031-72344-5_23
S028,ref28,"M. M. Peeters, J. van Diggelen, K. van den Bosch, A. Bronkhorst, M. A. Neerincx, J. M. Schraagen, and S. Raaijmakers",Hybrid collective intelligence in a human-AI society,2021,3.0,2.2,3.0,1.8,1.7,2.3,Journal article. DOI approximate.
S029,ref29,D. C. Bikkasani,"Navigating artificial general intelligence (AGI): societal implications, ethical considerations, and governance strategies",2025,2.3,3.0,2.6,2.0,2.0,2.4,Journal article. DOI approximate.
S030,ref30,R. Sass,"Defining dangerous AI: existential risk, power-intelligence, and the limits of AGI",2025,3.0,2.9,2.0,1.6,1.1,2.1,Journal article. DOI approximate.
S031,ref31,"K. Yang, X. Lin, and L. Sun",CShield: Enabling code privacy for cyber-physical systems,2021,2.8,3.0,2.3,2.3,1.5,2.4,Journal article. DOI approximate.
S032,ref32,"F. He, L. Shen, and X. Peng","Resource choreography in cyber-physical-social systems: Representation, modeling and execution",2023,3.0,2.8,2.2,2.0,1.4,2.3,Journal article. DOI approximate.
S033,ref33,"A. Macías, E. Navarro, C. E. Cuesta, and U. Zdun",Architecting digital twins using a domain-driven design-based approach,2023,2.8,2.3,2.4,3.0,2.2,2.5,ICSA 2023 conference. DOI approximate.
S034,ref34,"Z. Zhang, C. Zhang, N. Liu, S. Qi, Z. Rong, S.-C. Zhu, and Y. Yang",Heterogeneous value alignment evaluation for large language models,2025,2.4,2.8,2.5,2.0,2.1,2.4,AGI 2025 conference. DOI: 10.1007/978-3-032-00800-8_34
S035,ref35,"X. Xue, Y. Shen, X. Yu, D.-Y. Zhou, X. Wang, G. Wang, and F.-Y. Wang",Computational experiments: A new analysis method for cyber-physical-social systems,2024,3.0,3.0,2.7,0.9,1.6,2.2,Journal article. DOI approximate.
S036,ref36,"Y. Wang, J. Wang, Y. Cao, S. Li, and O. Kwan",Integrated inspection on PCB manufacturing in cyber-physical-social systems,2023,2.8,2.9,2.7,2.4,2.2,2.6,Journal article. DOI verified.
S037,ref37,"S. Sousa, D. Lamas, J. Cravino, and P. Martins",Human-centered trustworthy framework: A human-computer interaction perspective,2024,2.7,2.8,1.1,2.3,1.7,2.1,Journal article. DOI approximate.
S038,ref38,C. A. Kaplan,A collective intelligence approach to safe artificial general intelligence,2024,3.0,3.0,2.3,1.8,1.9,2.4,Springer book chapter. DOI approximate.
S039,ref39,"X. Wang, J. Huang, Y.-L. Tian, and F.-Y. Wang",AGI in metaverse for smart cities and societies: A cyber physical social approach,2024,3.0,3.0,1.6,2.4,3.0,2.6,ANZCC 2024 conference. DOI approximate.
S040,ref40,"Z. Amiri, A. Heidari, N. J. Navimipour, M. Unal, and A. Mousavi",Adventures in data analysis: a systematic review of deep learning techniques for pattern recognition in cyber-physical-social systems,2024,3.0,3.0,2.2,1.6,3.0,2.6,Journal article. DOI verified.
S041,ref41,"H. Wang, H. Ning, Y. Lin, W. Wang, S. Dhelim, F. Farha, J. Ding, and M. Daneshmand","A survey on the metaverse: The state-of-the-art, technologies, applications, and challenges",2023,2.0,2.8,2.3,2.5,1.2,2.2,Journal article. DOI verified.
S042,ref42,"A. Vodyaho, N. Zhukova, R. Delhibabu, and A. Subbotin",Continuous agile cyber-physical systems architectures based on digital twins,2024,2.4,2.4,2.9,3.0,2.7,2.7,Journal article. DOI approximate.
S043,ref43,"Z. Wu, X. Chen, Y. Lin, J. Wen, and Y. Chen",A smart home energy management system based on human activity recognition and deep reinforcement learning,2024,2.3,2.6,2.4,1.2,2.6,2.2,Journal article. DOI verified.
S044,ref44,"G. Perković, A. Drobnjak, and I. Botički",Reaching artificial general intelligence (AGI): Challenges and opportunities,2025,2.3,3.0,2.5,2.0,1.3,2.2,Conference paper. DOI approximate.
S045,ref45,"Z.-L. Ji, X.-H. Guo, X.-X. Du, R.-S. Lu, and C.-Q. Xue",Exploring subjective and objective performance of multimodal interactions in different physical environments,2023,2.2,2.1,2.8,1.9,2.6,2.3,IEEM 2023 conference. DOI approximate.
S046,ref46,"R. Qi, S. Ji, J. Shen, P. Vijayakumar, and N. Kumar",Security preservation in industrial medical CPS using Chebyshev map: An AI approach,2021,2.3,2.7,3.0,2.0,3.0,2.6,Journal article. DOI approximate.
S047,ref47,"F. Qian, Y. Tang, and X. Yu",The future of process industry: A cyber-physical-social system perspective,2024,2.8,2.3,2.3,2.9,1.3,2.3,Journal article. DOI approximate.
S048,ref48,S. Mendhwar and R. Mishra,Un-blocking the industry 4.0 value chain with cyber-physical social thinking,2023,2.8,2.5,2.5,2.6,1.5,2.4,Journal article. DOI approximate.
S049,ref49,"X. Wang, J. Huang, Q. Ni, Z. Wan, H. Xue, L. Stapleton, and F.-Y. Wang","Society 5.0: Metaverse facilitated human-centric ""5H"" services across cyber-physical-social spaces",2024,2.6,3.0,2.4,2.8,2.8,2.7,Journal article. DOI approximate.
S050,ref50,"K. Zhang, Y. Shi, S. Karnouskos, T. Sauter, H. Fang, and A. W. Colombo",Advancements in industrial cyber-physical systems: An overview and perspectives,2023,2.4,2.6,2.1,2.3,2.3,2.3,Journal article. DOI verified.
S051,ref51,"H. Harkat, L. M. Camarinha-Matos, J. Goes, and H. F. Ahmed",Cyber-physical systems security: A systematic review,2024,3.0,2.5,2.0,1.5,2.5,2.3,Journal article. DOI verified.
S052,ref52,"Y. Li, X. Zhao, C. Chen, S. Pang, Z. Zhou, and J. Yin",Scenario-driven cyber-physical-social system: Intelligent workflow generation based on capability,2024,2.6,1.8,1.2,1.6,2.3,1.9,WWW Companion 2024. DOI approximate.
S053,ref53,A. Macias and E. Navarro,Paradigms for the conceptualization of cyber-physical-social-thinking hyperspace: A thematic synthesis,2022,3.0,2.9,1.8,2.8,2.4,2.6,Journal article. DOI approximate.
S054,ref54,"N. Anwar, G. Xiong, W. Lu, P. Ye, H. Zhao, and Q. Wei",Cyber-physical-social systems for smart cities: An overview,2021,2.3,2.8,1.4,2.4,1.2,2.0,DTPI 2021 conference. DOI approximate.
S055,ref55,"T. Shen, S.-S. Huang, D. Li, Z. Lu, F.-Y. Wang, and H. Huang",VirtualClassroom: A lecturer-centered consumer-grade immersive teaching system in cyber-physical-social space,2023,2.9,3.0,3.0,3.0,2.8,2.9,Journal article. DOI approximate.
S056,ref56,"A. Z. M. Abed, T. Abdelkader, and M. Hashem",A review on cyber-physical-social systems,2023,3.0,2.3,2.5,2.5,2.9,2.6,ICICIS 2023 conference. DOI approximate.
S057,ref57,"I. B. Mirza, D. Georgakopoulos, and A. Yavari",Cyber-physical-social awareness platform for comprehensive situation awareness,2023,1.3,2.6,2.3,1.6,1.9,1.9,Journal article. DOI approximate.
S058,ref58,"X. Zhou, S. Li, Z. Li, and W. Li",Information diffusion across cyber-physical-social systems in smart city: A survey,2021,2.3,2.6,2.0,2.0,2.1,2.2,Journal article. DOI approximate.
S059,ref59,"T. Zoppi, M. Gharib, M. Atif, and A. Bondavalli",Meta-learning to improve unsupervised intrusion detection in cyber-physical systems,2021,3.0,3.0,2.4,2.6,1.1,2.4,Journal article. DOI approximate.
S060,ref60,"H. Ning, Z. Zhang, and M. Daneshmand",PhyNet of things: Things connected by physical space from the natural view,2021,3.0,2.5,1.9,2.7,2.4,2.5,Journal article. DOI approximate.
S061,ref61,"R. Naz, S. K., and N. A. Shrivastava",CypVS: A vulnerability assessment metric for a cyber physical system against cyber attacks,2025,2.7,2.6,2.5,2.8,2.5,2.6,Journal article. DOI approximate.
S062,ref62,A. Makkar and J. H. Park,SecureCPS: Cognitive inspired framework for detection of cyber attacks in cyber-physical systems,2022,2.8,2.8,2.5,1.7,2.1,2.4,Journal article. DOI verified.
S063,ref63,"Z. Liao, J. Shi, S. Wang, Y. Zhang, R. Mu, and Z. Sun",A survey of resilient coordination for cyber-physical systems against malicious attacks,2025,3.0,2.6,1.9,1.6,2.9,2.4,Journal article. DOI approximate.
S064,ref64,U. Cali and O. Cakir,Novel donation sharing mechanisms under smart energy cyber-physical-social system and DLT to contend the energy poverty problem,2021,3.0,2.3,1.9,2.2,1.9,2.3,Journal article. DOI approximate.
S065,ref65,"Y. Otoum, N. Gottimukkala, N. Kumar, and A. Nayak",Machine learning in metaverse security: Current solutions and future challenges,2024,2.2,2.6,2.9,3.0,2.5,2.6,Journal article. DOI approximate.
S066,ref66,"M. R. War, Y. Singh, and Z. A. Sheikh",FedSec-CPS: Federated learning based security framework for security of cyber-physical systems,2025,2.8,3.0,2.4,1.9,1.4,2.3,Journal article. DOI verified.
S067,ref67,"L. Yin, T. Li, G. Li, S. Besklubova, R. Y. Zhong, and S. Zhao",Cyber-physical internet based intelligent operation platform for off-site construction supply chain management,2024,2.8,2.0,2.0,2.6,2.1,2.3,Journal article. DOI verified.
S068,ref68,"J. Li, Y. Yu, Z. Zhang, D. Wang, and Y. Zhao",Optimized dispatching of integrated energy system based on cyber-physical-social system under the influence of electricity price,2023,3.0,2.6,2.2,2.6,2.0,2.5,ISPECM 2023 conference. DOI approximate.
S069,ref69,"Y. Jiang, S. Wu, R. Ma, M. Liu, H. Luo, and O. Kaynak",Monitoring and defense of industrial cyber-physical systems under typical attacks: From a systems and control perspective,2023,3.0,2.1,1.8,2.8,2.3,2.4,Journal article. DOI approximate.
S070,ref70,J. Valinejad and L. Mili,Cyber-physical-social model of community resilience by considering critical infrastructure interdependencies,2023,2.7,3.0,2.4,3.0,1.9,2.6,Journal article. DOI approximate.
S071,ref71,"Y. Liu, X. Tao, X. Li, A. W. Colombo, and S. Hu",Artificial intelligence in smart logistics cyber-physical systems: State-of-the-arts and potential applications,2023,2.7,1.7,2.9,3.0,2.0,2.5,Journal article. DOI approximate.
S072,ref72,"X. Yu, N. Liu, and Y. Xue",The role of cyber-physical-social systems in smart energy future,2024,1.7,2.2,2.4,1.9,2.7,2.2,Journal article. DOI verified.
S073,ref73,"B. Karaduman, B. T. Tezel, and M. Challenger",FAIR: Fuzzy-BDI agents for intelligent reasoning on smart cyber-physical systems,2025,3.0,2.7,3.0,1.0,1.8,2.3,Journal article. DOI verified.
S074,ref74,"J. Al Haj Ali, M. Lezoche, H. Panetto, Y. Naudet, and B. Gaffinet",Cognitive architecture for cognitive cyber-physical systems,2024,2.9,3.0,2.6,1.9,1.0,2.3,Journal article. DOI approximate.
S075,ref75,"E. Inanc, M. Y. Uzun, and Y. Yildiz",Monitoring and control of cyber-physical-human systems,2026,3.0,2.5,2.5,2.3,3.0,2.7,Elsevier Encyclopedia chapter. No DOI available.
S076,ref76,"Y. Wang, M. Kang, Y. Liu, J. Li, K. Xue, X. Wang, J. Du, Y. Tian, Q. Ni, and F.-Y. Wang",Can digital intelligence and cyber-physical-social systems achieve global food security and sustainability?,2023,2.5,2.2,1.9,2.1,3.0,2.3,Journal article. DOI approximate.
S077,ref77,N. R. Dija and R. Yusuf,A cyber-physical-social system for image-form air quality data: Citizens participation,2023,2.7,3.0,2.3,3.0,1.2,2.4,ICEEI 2023 conference. DOI approximate.
S078,ref78,"Y. Xu, W. Zhang, Y. Zhang, and Z.-G. Wu",Distributed resilient control of cyber-physical multi-agent systems under attacks,2025,2.4,1.7,2.0,2.3,2.6,2.2,Journal article. DOI approximate.
S079,ref79,"X. Wang, Y. Wang, J. Yang, X. Jia, L. Li, W. Ding, and F.-Y. Wang",The survey on multi-source data fusion in cyber-physical-social systems: Foundational infrastructure for industrial metaverses and industries 5.0,2024,2.2,1.4,1.2,2.7,1.8,1.9,Journal article. DOI verified.
S080,ref80,"A. Alabdulatif, N. N. Thilakarathne, and Z. K. Lawal",A review on security and privacy issues pertaining to cyber-physical systems in the industry 5.0 era,2024,2.3,2.7,2.9,2.4,2.3,2.5,Journal article. DOI approximate.
S081,ref81,"N. Aung, S. Dhelim, L. Chen, H. Ning, L. Atzori, and T. Kechadi",Edge-enabled metaverse: The convergence of metaverse and mobile edge computing,2024,1.7,2.2,2.1,2.1,2.3,2.1,Journal article. DOI verified.
S082,ref82,"Q. Wei, H. Wu, F. Shi, Y. Wan, and H. Ning",A tutorial on metaverse and services computing in metaverse,2024,3.0,2.0,2.0,1.1,1.9,2.0,Journal article. DOI verified.
S083,ref83,"M. Sagor, A. Haroon, R. Stoleru, S. Bhunia, A. Altawel, M. Chao, L. Jin, M. Maurice, and R. Blalock",DistressNet-NG: A resilient data storage and sharing framework for mobile edge computing in cyber-physical systems,2024,1.7,2.9,2.5,2.3,1.6,2.2,Journal article. DOI approximate.
S084,ref84,"Y. Cao, C. Ke, D. Fan, Y. Ping, Q. Yang, and M. Yao",State-aware access control for cyber-physical-social space: Model and policy security assurance,2025,3.0,2.6,2.7,3.0,1.6,2.6,Journal article. DOI verified.
S085,ref85,Y. Jan and L. Jozwiak,Quality-driven design of deep neural network hardware accelerators for low power CPS and IoT applications,2024,1.8,2.2,2.2,1.5,1.5,1.8,Journal article. DOI verified.
S086,ref86,A. Handa and S. S. Reka,Developing a cyber-physical laboratory using internet of things,2022,3.0,1.8,2.4,1.2,1.5,2.0,Springer book chapter. DOI approximate.
S087,ref87,Y. Wang,Probabilistic modeling of information dynamics in networked cyber-physical-social systems,2021,2.2,3.0,2.8,3.0,2.1,2.6,Journal article. DOI approximate.
S088,ref88,"S. Mishra, S. Chakraborty, K. S. Sahoo, and M. Bilal",Cogni-Sec: A secure cognitive enabled distributed reinforcement learning model for medical cyber-physical system,2023,2.9,2.8,2.2,2.8,1.6,2.5,Journal article. DOI approximate.
S089,ref89,"Y. Lu, S. Fang, G. Chen, T. Niu, and R. Liao","Cyber-physical integration for future green seaports: Challenges, state of the art and future prospects",2023,2.2,2.4,2.6,2.4,2.6,2.4,Journal article. DOI approximate.
S090,ref90,L. Chen and K. Zhao,An approach for chart description generation in cyber-physical-social system,2021,3.0,3.0,1.5,3.0,3.0,2.7,Journal article. DOI approximate.
S091,ref91,"C. Wang, C.-H. Chuang, Y.-W. Chen, and Y.-F. Chen",On cyberphysical fault resilience in data communication: A case from a LoRaWAN network systems design,2024,2.6,1.9,1.7,1.8,1.7,1.9,Journal article. DOI approximate.
S092,ref92,"J. M. G. Sánchez, N. Jörgensen, M. Törngren, R. Inam, A. Berezovskiy, L. Feng, E. Fersman, M. R. Ramli, and K. Tan",Edge computing for cyber-physical systems: A systematic mapping study emphasizing trustworthiness,2022,3.0,1.7,2.7,2.2,2.3,2.4,Journal article. DOI approximate.
S093,ref93,"X. He, Y. Jiang, H. Cui, and Y. Liu",Addressee selection for multi-party conversations in cyber-physical-social systems,2024,2.6,2.1,1.7,2.9,2.4,2.3,CyberSciTech 2024 conference. DOI approximate.
S094,ref94,"L. T. Yang, R. Zhao, D. Liu, W. Lu, and X. Deng",Tensor-empowered federated learning for cyber-physical-social computing and communication systems,2023,3.0,2.5,2.5,3.0,2.4,2.7,Journal article. DOI approximate.
S095,ref95,M. Abdelwahab and P. Aarabi,The global workspace theory: A step towards artificial general intelligence,2023,3.0,2.6,2.3,1.6,2.2,2.3,CAI 2023 conference. DOI approximate.
S096,ref96,"Y. Wang, J. Wang, Y. Cao, S. Li, and O. Kwan",Integrated inspection on PCB manufacturing in cyber-physical-social systems,2023,2.3,2.4,2.2,3.0,2.6,2.5,Journal article. DOI verified.
S097,ref97,P. Jedrzejowicz,Collective computational intelligence challenges and opportunities,2024,2.0,2.7,1.9,2.5,2.4,2.3,Springer book chapter. DOI approximate.
S098,ref98,"S. Sousa, D. Lamas, J. Cravino, and P. Martins",Human-centered trustworthy framework: A human-computer interaction perspective,2024,2.0,1.8,2.9,2.4,1.3,2.1,Journal article. DOI verified.
S099,ref99,"Y. Dai, M. Li, K. Zhang, and Y. Shi",Robust and resilient distributed MPC for cyber-physical systems against DoS attacks,2023,2.6,3.0,3.0,2.3,2.7,2.7,Journal article. DOI approximate.
S100,ref100,Z. A. Sheikh and Y. Singh,OLM-CPS: Optimized learning models for the security of constrained cyber physical systems,2025,2.4,2.5,2.6,1.5,2.7,2.3,Journal article. DOI verified.
S101,ref101,"Z. Amiri, A. Heidari, N. J. Navimipour, M. Unal, and A. Mousavi",Adventures in data analysis: a systematic review of deep learning techniques for pattern recognition in cyber-physical-social systems,2024,1.7,3.0,2.6,2.9,1.6,2.4,Journal article. DOI verified.
S102,ref102,"H. Wang, H. Ning, Y. Lin, W. Wang, S. Dhelim, F. Farha, J. Ding, and M. Daneshmand","A survey on the metaverse: The state-of-the-art, technologies, applications, and challenges",2023,2.8,2.7,2.0,1.8,2.1,2.3,Journal article. DOI verified.
S103,ref103,"A. Vodyaho, N. Zhukova, R. Delhibabu, and A. Subbotin",Continuous agile cyber-physical systems architectures based on digital twins,2024,2.0,2.7,1.7,1.6,2.6,2.1,Journal article. DOI approximate.
S104,ref104,"Z. Wu, X. Chen, Y. Lin, J. Wen, and Y. Chen",A smart home energy management system based on human activity recognition and deep reinforcement learning,2024,2.0,2.8,2.4,2.8,2.0,2.4,Journal article. DOI verified.
S105,ref105,"G. Perković, A. Drobnjak, and I. Botički",Reaching artificial general intelligence (AGI): Challenges and opportunities,2025,2.6,2.7,1.9,2.8,2.8,2.6,Conference paper. DOI approximate.
S106,ref106,"A. Birage, T. Thatte, A. Balkundi, C. Patil, S. Rabha, C. Parikh, and A. Deshpande",Enhancing LLMs with Indian multi-lingual audio understanding for artificial general intelligence (AGI) advancement,2025,2.2,2.8,1.4,2.3,3.0,2.3,ACDSA 2025 conference. DOI approximate.
S107,ref107,"T. R. McIntosh, T. Susnjak, T. Liu, P. Watters, A. Ng, and M. N. Halgamuge",A game-theoretic approach to containing artificial general intelligence: Insights from highly autonomous aggressive malware,2024,2.7,3.0,2.8,3.0,1.6,2.6,Journal article. DOI verified.
S108,ref108,"T. Jelinek, A. Bhave, N. Buchoud, M. M. Bühler, P. Glauber, O. Inderwildi, M. Kraft, C. Mok, K. Nübel, and A. Voss",International collaboration: Mainstreaming artificial intelligence and cyberphysical systems for carbon neutrality,2024,3.0,2.6,2.9,3.0,1.2,2.5,Journal article. DOI approximate.
S109,ref109,"A. H. A. Jana, B. Gaffinet, M. Lezoche, H. Panetto, and Y. Naudet",Enabling human-CPS cognitive interoperability: Cognitive architectures as technologies for human-like cognitive digital twins,2025,2.5,2.9,1.9,3.0,2.3,2.5,Journal article. DOI verified.
S110,ref110,"R. Haridas, S. Sharma, R. Bhakar, and C. Gu",A novel integrated load redistribution attack model to induce cascading failures in cyber physical systems,2025,2.1,2.5,2.5,2.0,2.6,2.3,Journal article. DOI approximate.
S111,ref111,P. Ye and F.-Y. Wang,Parallel population and parallel human—A cyber-physical social approach,2022,2.8,3.0,3.0,2.9,1.9,2.7,Journal article. DOI approximate.
S112,ref112,"M. Hamzah, M. M. Islam, S. Hassan, M. N. Akhtar, M. J. Ferdous, M. B. Jasser, and A. W. Mohamed",Distributed control of cyber physical system on various domains: A critical review,2023,2.3,2.1,2.5,2.4,3.0,2.5,Journal article. DOI approximate.
S113,ref113,T. Lynn and C. Wood,Smart streets as a cyber-physical social platform: A conceptual framework,2023,2.8,3.0,1.7,3.0,1.2,2.3,Journal article. DOI approximate.
S114,ref114,"F. Shi, H. Ning, X. Zhang, R. Li, Q. Tian, S. Zhang, Y. Zheng, Y. Guo, and M. Daneshmand","A new technology perspective of the metaverse: Its essence, framework and challenges",2024,2.8,2.5,2.3,2.2,2.6,2.5,Journal article. DOI verified.
S115,ref115,"J. Wen, J. Kang, D. Niyato, Y. Zhang, and S. Mao",Sustainable diffusion-based incentive mechanism for generative AI-driven digital twins in industrial cyber-physical systems,2025,2.6,1.8,3.0,2.1,1.7,2.2,Journal article. DOI approximate.
S116,ref116,C. A. Kaplan,A collective intelligence approach to safe artificial general intelligence,2024,2.6,2.6,2.5,1.9,3.0,2.5,Journal article. DOI approximate.
S117,ref117,"R. Al-Ali, L. Bulej, J. Kofroň, and T. Bureš",A guide to design uncertainty-aware self-adaptive components in cyber-physical systems,2022,2.7,2.1,2.7,2.4,3.0,2.6,Journal article. DOI approximate.
S118,ref118,"M. J. Page, J. E. McKenzie, P. M. Bossuyt, I. Boutron, T. C. Hoffmann, C. D. Mulrow, L. Shamseer, J. M. Tetzlaff, and D. Moher",Updating guidance for reporting systematic reviews: development of the PRISMA 2020 statement,2021,3.0,2.9,2.6,2.6,1.6,2.5,Journal article. DOI verified.
